name,phi,psi,theta,fchl_energy
aspartame,160,120,,-1297.3391820788383
aspartame,160,140,,-1297.3391820788383
aspartame,160,160,,-1297.3391820788383
aspartame,160,180,,-1297.3391820788383
aspartame,160,-20,,-1297.3391820788383
aspartame,160,-40,,-1297.3391820788383
aspartame,160,-60,,-1297.3391820788383
aspartame,160,-80,,-1297.3391820788383
aspartame,160,-100,,-1297.3391820788383
aspartame,160,-120,,-1297.3391820788383
aspartame,160,-140,,-1297.3391820788383
aspartame,160,-160,,-1297.3391820788383
aspartame,160,-180,,-1297.3391820788383
aspartame,180,0,,-1297.3391820788383
aspartame,180,20,,-1297.3391820788383
aspartame,180,40,,-1297.3391820788383
aspartame,180,60,,-1297.3391820788383
aspartame,180,80,,-1297.3391820788383
aspartame,180,100,,-1297.3391820788383
aspartame,180,120,,-1297.3391820788383
aspartame,180,140,,-1297.3391820788383
aspartame,180,160,,-1297.3391820788383
aspartame,180,180,,-1297.3391820788383
aspartame,180,-20,,-1297.3391820788383
aspartame,180,-40,,-1297.3391820788383
aspartame,180,-60,,-1297.3391820788383
aspartame,180,-80,,-1297.3391820788383
aspartame,180,-100,,-1297.3391820788383
aspartame,180,-120,,-1297.3391820788383
aspartame,180,-140,,-1297.3391820788383
aspartame,180,-160,,-1297.3391820788383
aspartame,180,-180,,-1297.3391820788383
aspartame,-20,0,,-1297.3391820788383
aspartame,-20,20,,-1297.3391820788383
aspartame,-20,40,,-1297.3391820788383
aspartame,-20,60,,-1297.3391820788383
aspartame,-20,80,,-1297.3391820788383
aspartame,-20,100,,-1297.3391820788383
aspartame,-20,120,,-1297.3391820788383
aspartame,-20,140,,-1297.3391820788383
aspartame,-20,160,,-1297.3391820788383
aspartame,-20,180,,-1297.3391820788383
aspartame,-20,-20,,-1297.3391820788383
aspartame,-20,-40,,-1297.3391820788383
aspartame,-20,-60,,-1297.3391820788383
aspartame,-20,-80,,-1297.3391820788383
aspartame,-20,-100,,-1297.3391820788383
aspartame,-20,-120,,-1297.3391820788383
aspartame,-20,-140,,-1297.3391820788383
aspartame,-20,-160,,-1297.3391820788383
aspartame,-20,-180,,-1297.3391820788383
aspartame,-40,0,,-1297.3391820788383
aspartame,-40,20,,-1297.3391820788383
aspartame,-40,40,,-1297.3391820788383
aspartame,-40,60,,-1297.3391820788383
aspartame,-40,80,,-1297.3391820788383
aspartame,-40,100,,-1297.3391820788383
aspartame,-40,120,,-1297.3391820788383
