name,point,mmff_energy
HCN,42,406714.06538617756
HCN,43,455349.126429845
HCN,44,508235.6299924106
HCN,45,565615.0373711716
HF,1,245.32645426346576
HF,2,116.28770658240187
HF,3,43.616152104562545
HF,4,9.532471266307128
HF,5,0.03152057084768236
HF,6,4.882332588249309
HF,7,17.628115955430086
HF,8,35.586255376160985
HF,9,59.84831162106605
HF,10,95.28002152762211
HF,11,150.5212980001592
HF,12,237.9862300098602
HF,13,373.8630825947606
HF,14,578.1142968597495
HF,15,874.4764899765681
HF,16,1290.4604551838122
HF,17,1857.3511617869292
HF,18,2610.2077551582192
HF,19,3587.8635567368324
HF,20,4832.926064028784
HF,21,6391.776950606926
HF,22,8314.572066110975
HF,23,10655.241436247496
HF,24,13471.489262789892
HF,25,16824.793923578465
HF,26,20780.40797252031
HF,27,25407.35813958943
HF,28,30778.445330826646
HF,29,36970.2446283396
HF,30,44063.105290302905
HF,31,52141.1507509579
HF,32,61292.27862061283
HF,33,71608.16068564281
HF,34,83184.24290848973
HF,35,96119.74542766249
HF,36,110517.66255773666
HF,37,126484.76278935476
HF,38,144131.58878922625
HF,39,163572.4574001272
HF,40,184925.45964090087
HF,41,208312.46070645677
HF,42,233859.099967772
HF,43,261694.7909718904
HF,44,291952.72144192184
HF,45,324769.85327704437
N2,1,447.82209783024615
N2,2,285.6962310593392
N2,3,171.33461647815915
N2,4,94.39686325163396
N2,5,45.858008448691564
N2,6,18.00851704226009
N2,7,4.454281909267397
N2,8,0.11662383064156694
N2,9,1.2322914913105818
N2,10,5.353461480202448
N2,11,11.347738290245148
N2,12,19.39815431836671
N2,13,31.00316986549513
N2,14,48.976673136558375
