name,phi,psi,theta,energy
aspartame,-180,100,nan,-28013.62490393002
aspartame,-180,120,nan,-28013.581369795647
aspartame,-180,140,nan,-28013.67408170565
aspartame,-180,160,nan,-28013.51717568929
aspartame,-180,180,nan,-28013.568659357687
aspartame,-180,20,nan,-28013.620487794335
aspartame,-180,40,nan,-28013.64897865871
aspartame,-180,60,nan,-28013.481567142924
aspartame,-180,80,nan,-28013.60448804416
aspartame,-20,-100,nan,-28020.2092571926
aspartame,-20,-120,nan,-28020.084304145134
aspartame,-20,-140,nan,-28020.33261728558
aspartame,-20,-160,nan,-28020.015021237657
aspartame,-20,-180,nan,-28020.328062099732
aspartame,-20,-20,nan,-28020.308140372617
aspartame,-20,-40,nan,-28020.223757595464
aspartame,-20,-60,nan,-28020.040823072963
aspartame,-20,-80,nan,-28020.416903462323
aspartame,-20,0,nan,-28019.96771587743
aspartame,-20,100,nan,-28020.03660993421
aspartame,-20,120,nan,-28020.24412477295
aspartame,-20,140,nan,-28020.412899034898
aspartame,-20,160,nan,-28020.01239016884
aspartame,-20,180,nan,-28020.249872633813
aspartame,-20,20,nan,-28020.375852638954
aspartame,-20,40,nan,-28020.29388024628
aspartame,-20,60,nan,-28020.03891011259
aspartame,-20,80,nan,-28020.339977965243
aspartame,-40,-100,nan,-28020.465040946703
aspartame,-40,-120,nan,-28020.48318658671
aspartame,-40,-140,nan,-28020.492745129934
aspartame,-40,-160,nan,-28020.322731389395
aspartame,-40,-180,nan,-28020.54085349814
aspartame,-40,-20,nan,-28020.47692170953
aspartame,-40,-40,nan,-28020.42743018663
aspartame,-40,-60,nan,-28020.38634208366
aspartame,-40,-80,nan,-28020.57136698476
aspartame,-40,0,nan,-28020.47138909072
aspartame,-40,100,nan,-28020.48389272215
aspartame,-40,120,nan,-28020.469094626736
aspartame,-40,140,nan,-28020.574054109038
aspartame,-40,160,nan,-28020.366604577623
aspartame,-40,180,nan,-28020.44472030069
aspartame,-40,20,nan,-28020.519660999344
aspartame,-40,40,nan,-28020.524119312675
aspartame,-40,60,nan,-28020.32755569585
aspartame,-40,80,nan,-28020.493934539576
aspartame,-60,-100,nan,-28015.644449661588
aspartame,-60,-120,nan,-28015.755017410345
aspartame,-60,-140,nan,-28015.675759625457
aspartame,-60,-160,nan,-28015.572823309634
aspartame,-60,-180,nan,-28015.81037298673
aspartame,-60,-20,nan,-28015.71843388006
aspartame,-60,-40,nan,-28015.61662493192
aspartame,-60,-60,nan,-28015.672369358992
aspartame,-60,-80,nan,-28015.77187050957
aspartame,-60,0,nan,-28015.70975997896
aspartame,-60,100,nan,-28015.756182873974
aspartame,-60,120,nan,-28015.64217206866
aspartame,-60,140,nan,-28015.785767091795
aspartame,-60,160,nan,-28015.64941410668
aspartame,-60,180,nan,-28015.628162831294
aspartame,-60,20,nan,-28015.683760589003
aspartame,-60,40,nan,-28015.801029957674
aspartame,-60,60,nan,-28015.56905235589
aspartame,-60,80,nan,-28015.68214913078
aspartame,-80,-100,nan,-28019.58670641778
aspartame,-80,-120,nan,-28019.599159436035
aspartame,-80,-140,nan,-28019.602787802116
aspartame,-80,-160,nan,-28019.46625522186
aspartame,-80,-180,nan,-28019.63252277102
aspartame,-80,-20,nan,-28019.61382991006
aspartame,-80,-40,nan,-28019.56035872209
aspartame,-80,-60,nan,-28019.50070728436
aspartame,-80,-80,nan,-28019.668498398965
aspartame,-80,0,nan,-28019.597853017436
