name,phi,psi,theta,cnn_energy
ala-ala,-60.0,0.0,,-358231.7362349956
ala-ala,60.0,0.0,,-358234.97247156786
ala-ala,-60.0,-100.0,,-358231.01769861864
ala-ala,-60.0,100.0,,-358223.76000818895
ala-ala,60.0,-100.0,,-358233.2851851909
ala-ala,60.0,100.0,,-358233.7756942241
ala-ala,-60.0,-120.0,,-358218.1365188091
ala-ala,-60.0,120.0,,-358231.94474634813
ala-ala,60.0,-120.0,,-358229.5783217876
ala-ala,60.0,120.0,,-358234.4969924419
ala-ala,-60.0,-140.0,,-358230.38529810595
ala-ala,-60.0,140.0,,-358231.9742110698
ala-ala,60.0,-140.0,,-358232.4976485698
ala-ala,60.0,140.0,,-358233.29629358934
ala-ala,-60.0,-160.0,,-358224.00681910204
ala-ala,-60.0,160.0,,-358224.5765059917
ala-ala,60.0,-160.0,,-358227.577497813
ala-ala,60.0,160.0,,-358227.5249007671
ala-ala,-60.0,-180.0,,-358232.20879969286
ala-ala,-60.0,180.0,,-358227.45030054735
ala-ala,60.0,-180.0,,-358234.8137801616
ala-ala,60.0,180.0,,-358232.57069239306
ala-ala,-60.0,-20.0,,-358219.5230544536
ala-ala,-60.0,20.0,,-358229.1183608501
ala-ala,60.0,-20.0,,-358216.8085006206
ala-ala,60.0,20.0,,-358232.04714808153
ala-ala,-60.0,-40.0,,-358229.88751063036
ala-ala,-60.0,40.0,,-358232.562376353
ala-ala,60.0,-40.0,,-358230.9570601909
ala-ala,60.0,40.0,,-358232.0018599956
ala-ala,-60.0,-60.0,,-358227.77342066454
ala-ala,-60.0,60.0,,-358225.3299697368
ala-ala,60.0,-60.0,,-358229.1708053081
ala-ala,60.0,60.0,,-358224.41641077684
ala-ala,-60.0,-80.0,,-358232.9090407817
ala-ala,-60.0,80.0,,-358231.36686548876
ala-ala,60.0,-80.0,,-358234.2320388286
ala-ala,60.0,80.0,,-358231.01223597216
ala-ala,-80.0,0.0,,-358231.41958460497
ala-ala,80.0,0.0,,-358237.8261702983
ala-ala,-80.0,-100.0,,-358230.8549331157
ala-ala,-80.0,100.0,,-358231.2514327495
ala-ala,80.0,-100.0,,-358235.34373316454
ala-ala,80.0,100.0,,-358236.11813196825
ala-ala,-80.0,-120.0,,-358231.2533706157
ala-ala,-80.0,120.0,,-358229.73031458544
ala-ala,80.0,-120.0,,-358234.52761683153
ala-ala,80.0,120.0,,-358236.4263595073
ala-ala,-80.0,-140.0,,-358232.70060572313
ala-ala,-80.0,140.0,,-358230.4651626079
ala-ala,80.0,-140.0,,-358234.54334864306
ala-ala,80.0,140.0,,-358233.5581954448
ala-ala,-80.0,-160.0,,-358226.0704940288
ala-ala,-80.0,160.0,,-358224.3859084575
ala-ala,80.0,-160.0,,-358223.9609969585
ala-ala,80.0,160.0,,-358226.14895472216
ala-ala,-80.0,-180.0,,-358230.00932154345
ala-ala,-80.0,180.0,,-358231.95199427294
ala-ala,80.0,-180.0,,-358231.4105819194
ala-ala,80.0,180.0,,-358232.8538497417
ala-ala,-80.0,-20.0,,-358232.92642054247
ala-ala,-80.0,20.0,,-358229.4116042583
ala-ala,80.0,-20.0,,-358234.4887526958
ala-ala,80.0,20.0,,-358232.0051711528
ala-ala,-80.0,-40.0,,-358228.7148726909
ala-ala,-80.0,40.0,,-358226.8175490825
ala-ala,80.0,-40.0,,-358230.4464400737
ala-ala,80.0,40.0,,-358229.9781173198
ala-ala,-80.0,-60.0,,-358226.39964136767
ala-ala,-80.0,60.0,,-358224.28039393114
ala-ala,80.0,-60.0,,-358225.07015833544
ala-ala,80.0,60.0,,-358225.99813685106
ala-ala,-80.0,-80.0,,-358229.3560470073
ala-ala,-80.0,80.0,,-358232.67254481005
ala-ala,80.0,-80.0,,-358232.89741358446
ala-ala,80.0,80.0,,-358235.2955001323
aspartame,0.0,0.0,,-645962.3384232873
aspartame,0.0,-100.0,,-645979.3302750939
aspartame,0.0,100.0,,-645909.1001115197
aspartame,0.0,-120.0,,-645893.9887986535
aspartame,0.0,120.0,,-645984.9701371545
aspartame,0.0,-140.0,,-645931.2907243127
aspartame,0.0,140.0,,-645895.0839372033
aspartame,0.0,-160.0,,-645960.0074296349
aspartame,0.0,160.0,,-645917.6244035119
aspartame,0.0,-180.0,,-645885.7736344689
aspartame,0.0,180.0,,-645980.64320234
aspartame,0.0,-20.0,,-645855.2448563927
aspartame,0.0,20.0,,-645949.742018258
