name,phi,psi,theta,gaff_energy
aspartame,-180,-60,,22427.870673868143
aspartame,-180,-80,,22423.81887503788
aspartame,-180,0,,22426.69987764352
aspartame,-180,100,,22432.61998845517
aspartame,-180,120,,22402.044537756967
aspartame,-180,140,,22429.206945758622
aspartame,-180,160,,22436.452787896924
aspartame,-180,180,,22421.081974503082
aspartame,-180,20,,22412.056420191388
aspartame,-180,40,,22437.358422534657
aspartame,-180,60,,22431.283832049183
aspartame,-180,80,,22427.55244654888
aspartame,-20,-100,,19.773949724573257
aspartame,-20,-120,,65.30253292875955
aspartame,-20,-140,,10.999769912147187
aspartame,-20,-160,,36.85009431063064
aspartame,-20,-180,,18.393099272598036
aspartame,-20,-20,,28.86374920884691
aspartame,-20,-40,,15.330954483953377
aspartame,-20,-60,,40.33043418420809
aspartame,-20,-80,,6.9013507379980155
aspartame,-20,0,,67.25760825081939
aspartame,-20,100,,72.26029857388008
aspartame,-20,120,,15.906414119277514
aspartame,-20,140,,7.892412807374512
aspartame,-20,160,,41.57043117949563
aspartame,-20,180,,13.19708701532781
aspartame,-20,20,,6.192803078763745
aspartame,-20,40,,21.671755493493677
aspartame,-20,60,,34.176544485438384
aspartame,-20,80,,12.119183328836655
aspartame,-40,-100,,2.5767389579520312
aspartame,-40,-120,,10.00204016892178
aspartame,-40,-140,,3.394273840112106
aspartame,-40,-160,,23.42327414751925
aspartame,-40,-180,,7.9959565703099855
aspartame,-40,-20,,10.518383036392777
aspartame,-40,-40,,8.196673665649925
aspartame,-40,-60,,22.033738976285306
aspartame,-40,-80,,0.719343886099935
aspartame,-40,0,,5.3508373594585805
aspartame,-40,100,,9.22498182527373
aspartame,-40,120,,2.0771150225286306
aspartame,-40,140,,1.4159533569781928
aspartame,-40,160,,23.129618092698323
aspartame,-40,180,,6.270801540065548
aspartame,-40,20,,-0.29773783180993973
aspartame,-40,40,,10.050931835580982
aspartame,-40,60,,22.146546327427018
aspartame,-40,80,,3.9977067238497312
aspartame,-60,-100,,3982.472245126088
aspartame,-60,-120,,3987.685482774638
aspartame,-60,-140,,3985.866000418025
aspartame,-60,-160,,4004.4051319433097
aspartame,-60,-180,,3988.017324756126
aspartame,-60,-20,,3991.1879154185513
aspartame,-60,-40,,3991.8910604266316
aspartame,-60,-60,,4003.7229509223675
aspartame,-60,-80,,3982.8725020480297
aspartame,-60,0,,3984.0886683069734
aspartame,-60,100,,3988.356808869214
aspartame,-60,120,,3981.9124542842424
aspartame,-60,140,,3983.8965307898743
aspartame,-60,160,,4004.6494283300053
aspartame,-60,180,,3989.872737407142
aspartame,-60,20,,3979.8567384403295
aspartame,-60,40,,3991.8207023295395
aspartame,-60,60,,4003.2154842986383
aspartame,-60,80,,3988.3085954684843
aspartame,-80,-100,,329.12203931387234
aspartame,-80,-120,,338.30565935335017
aspartame,-80,-140,,337.6318032268785
aspartame,-80,-160,,354.0132603141057
aspartame,-80,-180,,336.54930214517276
aspartame,-80,-20,,342.095046632656
aspartame,-80,-40,,340.9705890056189
aspartame,-80,-60,,351.30433892535257
aspartame,-80,-80,,328.9835210075928
aspartame,-80,0,,331.7832947763733
aspartame,-80,100,,337.185220211839
aspartame,-80,120,,328.7084115230157
aspartame,-80,140,,329.6939857296982
aspartame,-80,160,,352.6418334852783
aspartame,-80,180,,339.47277722080196
aspartame,-80,20,,327.0404948783837
aspartame,-80,40,,338.80983264857764
aspartame,-80,60,,352.94884697180225
aspartame,-80,80,,338.03681897626245
aspartame,0,-100,,104.21100574607739
aspartame,0,-120,,36641.00501984117
aspartame,0,-140,,2561.669644568554
aspartame,0,-160,,176.53925553302025
aspartame,0,-180,,12467.131961258756
aspartame,0,-20,,171946.65787270555
aspartame,0,-40,,151.1567593470501
aspartame,0,-60,,1363.8237427589543
aspartame,0,-80,,3895.793212782065
aspartame,0,0,,377.90075909314544
aspartame,0,100,,18676.14577406508
aspartame,0,120,,104.60379307393762
aspartame,0,140,,5673.957443080637
aspartame,0,160,,880.1508507160959
aspartame,0,180,,190.5444880493062
aspartame,0,20,,304.71205309726895
aspartame,0,40,,11089.922999505618
aspartame,0,60,,151.25032231532956
aspartame,0,80,,5136.064538622585
aspartame,100,-100,,86.3409871610956
aspartame,100,-120,,13708.388176898832
aspartame,100,-140,,70.0273153471952
aspartame,100,-160,,220.07650788291113
aspartame,100,-180,,722.8775429358165
aspartame,100,-20,,1428.9357357681483
aspartame,100,-40,,51.1170728420407
aspartame,100,-60,,1147.846498065142
aspartame,100,-80,,108.6512311487627
aspartame,100,0,,1669.8662454383589
aspartame,100,100,,14063.119956040693
aspartame,100,120,,64.5894782740877
aspartame,100,140,,147.28367277414526
aspartame,100,160,,947.9540448620774
aspartame,100,180,,47.48198024743681
aspartame,100,20,,39.56791922806207
aspartame,100,40,,926.2921350132428
aspartame,100,60,,163.1026001884354
aspartame,100,80,,92.09759325908531
aspartame,120,-100,,50.70508122956552
