name,point,bond,length,energy,ani2_energy,ani1x_energy,cnn_energy,BAND_energy,bobrfr_energy,bobkrr_energy,bobbrr_energy,fchl_energy,ecfprfr_energy,mmff_energy,gaff_energy
C6H6-C,27,CC,3.5846,-143936.81428600143,-143803.64444728842,-145337.60155434505,-145030.94402528938,,-145291.73349721593,-145001.76651921315,-145518.82179116693,-144838.62979307768,-144370.36538419023,93847.38701393745,58041.28254098285
C6H6-C,28,CC,3.6846,-143919.89291532425,-143646.2500203651,-145335.37805177033,-145036.1970770472,,-145291.69211985642,-144982.89741736095,-145515.84245620016,-144836.9606677098,-144370.36538419023,113513.89508525026,63443.41682834231
C6H6-C,29,CC,3.7846,-143904.59553725002,-143490.3362754836,-145335.22896548884,-145038.17327333626,,-145278.20858757323,-144964.75482126177,-145512.98778193528,-144834.21211731594,-144370.36538419023,136159.6260746444,69085.90008993282
C6H6-C,30,CC,3.8846,-143890.77956793073,-143406.81494531632,-145343.7811358304,-145042.09093691048,,-145272.68822358188,-144947.62867493337,-145510.22879222492,-144831.94875304916,-144370.36538419023,162073.80092441064,74968.72934674812
C6H6-C,31,CC,3.9846,-143878.29137079784,-143444.54316542388,-145356.6934066613,-145038.65502382454,,-145273.03907471264,-144931.5662551092,-145507.66342918092,-144830.63183396947,-144370.36538419029,191559.11738116536,81091.91047805679
C6H6-C,32,CC,4.0846,-143867.00208715384,-143590.73899247276,-145366.00518394995,-145052.17486025032,,-145249.70946917185,-144915.3676902613,-145505.13401634502,-144830.0070138686,-144370.36538419029,224931.74566386046,87455.43612489924
C6H6-C,33,CC,4.1846,-143856.7952754004,-143762.23668082707,-145367.0139849137,-145053.74608827766,,-145241.8168359253,-144900.26247468105,-145502.79069609448,-144830.51057863884,-144370.36538419023,262521.33401421073,94059.31397259324
C6H6-C,34,CC,4.2846,-143847.57257508815,-143837.77071397402,-145361.5359056242,-145063.997003805,,-145241.849608718,-144885.39154822959,-145500.4528837276,-144832.13848179948,-144370.36538419029,304671.0031629833,100903.53848721061
C6H6-C,35,CC,4.3846,-143839.21711903278,-143779.4173973049,-145354.34774759,-145068.55791689095,,-145241.69839171818,-144871.6397039514,-145498.28449443975,-144832.35960174917,-144370.36538419023,351751.68256540986,107990.19287146974
C6H6-C,36,CC,4.4846,-143831.6424882291,-143708.71068903283,-145348.35656239165,-145072.77752138313,,-145241.89724771216,-144858.1272355391,-145496.09682595302,-144833.13236034295,-144370.36538419029,404106.36109809077,115315.18603688596
C6H6-C,37,CC,4.5846,-143824.7676398254,-143763.4898066748,-145344.03038595078,-145077.18309999641,,-145241.8972477122,-144844.67880017098,-145494.0327129646,-144834.64660087624,-144370.36538419023,462131.44869909174,122880.52420765186
