name,phi,psi,theta,mmff_energy
gly-gly,100,180,,54.6362908553506
gly-gly,100,20,,50.21820236853729
gly-gly,100,40,,90.43507104243834
gly-gly,100,60,,67.12983581698441
gly-gly,100,80,,56.694372915499216
gly-gly,120,-100,,54.33212488309831
gly-gly,120,-120,,58.3547888673103
gly-gly,120,-140,,150.50743966559156
gly-gly,120,-160,,50.03157490727811
gly-gly,120,-180,,65.68714270950976
gly-gly,120,-20,,116.60250366418576
gly-gly,120,-40,,71.5296465628268
gly-gly,120,-60,,50.055294441241244
gly-gly,120,-80,,85.78815180042427
gly-gly,120,0,,48.95286541206613
gly-gly,120,100,,54.34474064575838
gly-gly,120,120,,55.91005141481184
gly-gly,120,140,,84.05477266090963
gly-gly,120,160,,49.41139296009389
gly-gly,120,180,,79.99472763228276
gly-gly,120,20,,73.13284549677955
gly-gly,120,40,,62.100486008027744
gly-gly,120,60,,50.95412429499456
gly-gly,120,80,,162.36281414235668
gly-gly,140,-100,,92.6751531294907
gly-gly,140,-120,,89.10981750015142
gly-gly,140,-140,,91.6097300467738
gly-gly,140,-160,,93.7833127688217
gly-gly,140,-180,,90.33931153597908
gly-gly,140,-20,,89.03029679805876
gly-gly,140,-40,,93.79656010469023
gly-gly,140,-60,,92.05516770843961
gly-gly,140,-80,,89.78777764972429
gly-gly,140,0,,91.8823291565114
gly-gly,140,100,,89.40304666926488
gly-gly,140,120,,92.49807193835579
gly-gly,140,140,,89.78550370418697
gly-gly,140,160,,92.3460176799668
gly-gly,140,180,,93.52359326643051
gly-gly,140,20,,90.72564839900328
gly-gly,140,40,,90.54476395401764
gly-gly,140,60,,94.00668421511746
gly-gly,140,80,,91.15963104957558
gly-gly,160,-100,,174.97542164155834
gly-gly,160,-120,,170.51032587060476
gly-gly,160,-140,,173.78523464845458
gly-gly,160,-160,,175.88532130896502
gly-gly,160,-180,,171.09601391341408
gly-gly,160,-20,,170.3989471137223
gly-gly,160,-40,,176.21267021138397
gly-gly,160,-60,,173.41384121078838
gly-gly,160,-80,,171.04278385464403
gly-gly,160,0,,174.04815396453364
gly-gly,160,100,,170.91295207101174
gly-gly,160,120,,174.75956873332038
gly-gly,160,140,,170.90664321162296
gly-gly,160,160,,173.84173069567225
gly-gly,160,180,,175.93424353533993
gly-gly,160,20,,172.69858557171207
gly-gly,160,40,,171.2930288848682
gly-gly,160,60,,176.16672516668228
gly-gly,160,80,,173.27284595993294
gly-gly,180,-100,,43.97258256683182
gly-gly,180,-120,,41.18059722493391
gly-gly,180,-140,,42.902934952144925
gly-gly,180,-160,,46.4358546151941
gly-gly,180,-180,,41.35580260987392
gly-gly,180,-20,,40.383090332722816
gly-gly,180,-40,,45.826200716190804
gly-gly,180,-60,,44.36544699847505
gly-gly,180,-80,,40.05391799371866
gly-gly,180,0,,43.923325111699256
gly-gly,180,100,,41.547894622482836
gly-gly,180,120,,43.66240306708971
gly-gly,180,140,,40.11151562546539
gly-gly,180,160,,44.76605770725517
gly-gly,180,180,,45.4220424954516
gly-gly,180,20,,41.18086315185722
gly-gly,180,40,,41.755945392924566
gly-gly,180,60,,46.61512332341351
gly-gly,180,80,,42.38653116647956
gly-gly,20,-100,,47.869393150728015
gly-gly,20,-120,,42.56435174336383
gly-gly,20,-140,,54.99982241838007
gly-gly,20,-160,,46.97597657310212
gly-gly,20,-180,,43.536698539345394
gly-gly,20,-20,,47.323008659972714
gly-gly,20,-40,,52.37430809355717
gly-gly,20,-60,,44.379007395499926
gly-gly,20,-80,,45.72605059623056
gly-gly,20,0,,45.52048397690518
gly-gly,20,100,,42.699162287980386
gly-gly,20,120,,48.05104808921539
gly-gly,20,140,,45.222564743850825
gly-gly,20,160,,44.70170229319332
gly-gly,20,180,,53.31602932023696
gly-gly,20,20,,48.05569918971889
gly-gly,20,40,,43.455319108046005
gly-gly,20,60,,47.56317728470145
gly-gly,20,80,,54.459284102187226
gly-gly,40,-100,,400.9719582139622
gly-gly,40,-120,,397.16400823930644
gly-gly,40,-140,,400.0325437695461
gly-gly,40,-160,,401.7232134716159
gly-gly,40,-180,,398.33169840996754
gly-gly,40,-20,,397.4031393907331
gly-gly,40,-40,,401.98443975905576
gly-gly,40,-60,,399.9345357234929
gly-gly,40,-80,,398.2456002370955
gly-gly,40,0,,400.0507015459963
gly-gly,40,100,,397.4477753485207
gly-gly,40,120,,400.78484829628366
gly-gly,40,140,,398.19363620985604
gly-gly,40,160,,400.1849113682986
gly-gly,40,180,,401.7429141166298
gly-gly,40,20,,399.229833733163
gly-gly,40,40,,398.4970776412153
gly-gly,40,60,,402.083005494858
gly-gly,40,80,,399.62793964465254
gly-gly,60,-100,,232.5634343258454
gly-gly,60,-120,,228.69420424918655
gly-gly,60,-140,,231.12943623061602
gly-gly,60,-160,,234.18381145464068
gly-gly,60,-180,,228.77126213469194
gly-gly,60,-20,,227.92432480959758
gly-gly,60,-40,,234.02102168306513
gly-gly,60,-60,,231.76406186990226
gly-gly,60,-80,,228.0863458785476
gly-gly,60,0,,232.09924744177528
gly-gly,60,100,,229.18317397900583
gly-gly,60,120,,232.26200256067636
gly-gly,60,140,,228.01268740348405
gly-gly,60,160,,232.22273733069773
